Metal,LabelVariant,CusumVariant,Kappa,Grade
Cobalt,gsadf_ols,cusum_raw,0.3842,fair
Cobalt,gsadf_ols_period,cusum_raw,0.3842,fair
Cobalt,gsadf_v1,cusum_raw,0.2204,fair
Cobalt,gsadf_v1_period,cusum_raw,0.2419,fair
Cobalt,gsadf_updown,cusum_raw,0.3744,fair
Cobalt,gsadf_updown_period,cusum_raw,0.3763,fair
Cobalt,lppls_0.20,cusum_raw,0.0986,slight
Cobalt,lppls_0.20_period,cusum_raw,0.0955,slight
Cobalt,lppls_0.10,cusum_raw,0.1364,slight
Cobalt,lppls_0.10_period,cusum_raw,0.139,slight
Cobalt,lppls_0.01,cusum_raw,0.1595,slight
Cobalt,lppls_0.01_period,cusum_raw,0.2012,fair
Cobalt,gsadf_ols,cusum_smoothed,0.4024,moderate
Cobalt,gsadf_ols_period,cusum_smoothed,0.4024,moderate
Cobalt,gsadf_v1,cusum_smoothed,0.2327,fair
Cobalt,gsadf_v1_period,cusum_smoothed,0.2551,fair
Cobalt,gsadf_updown,cusum_smoothed,0.3913,fair
Cobalt,gsadf_updown_period,cusum_smoothed,0.3933,fair
Cobalt,lppls_0.20,cusum_smoothed,0.1045,slight
Cobalt,lppls_0.20_period,cusum_smoothed,0.1011,slight
Cobalt,lppls_0.10,cusum_smoothed,0.1448,slight
Cobalt,lppls_0.10_period,cusum_smoothed,0.1476,slight
Cobalt,lppls_0.01,cusum_smoothed,0.1691,slight
Cobalt,lppls_0.01_period,cusum_smoothed,0.2128,fair
Cobalt,gsadf_ols,cusum_filtered,0.2589,fair
Cobalt,gsadf_ols_period,cusum_filtered,0.2589,fair
Cobalt,gsadf_v1,cusum_filtered,0.5032,moderate
Cobalt,gsadf_v1_period,cusum_filtered,0.5113,moderate
Cobalt,gsadf_updown,cusum_filtered,0.2656,fair
Cobalt,gsadf_updown_period,cusum_filtered,0.2697,fair
Cobalt,lppls_0.20,cusum_filtered,0.2632,fair
Cobalt,lppls_0.20_period,cusum_filtered,0.2554,fair
Cobalt,lppls_0.10,cusum_filtered,0.344,fair
Cobalt,lppls_0.10_period,cusum_filtered,0.3487,fair
Cobalt,lppls_0.01,cusum_filtered,0.3884,fair
Cobalt,lppls_0.01_period,cusum_filtered,0.4264,moderate
Copper,gsadf_ols,cusum_raw,0.143,slight
Copper,gsadf_ols_period,cusum_raw,0.143,slight
Copper,gsadf_v1,cusum_raw,0.1618,slight
Copper,gsadf_v1_period,cusum_raw,0.1537,slight
Copper,gsadf_updown,cusum_raw,0.1966,slight
Copper,gsadf_updown_period,cusum_raw,0.1851,slight
