LabelVariant,Mean_Kappa,Mean_Jaccard,Composite
gsadf_v1,0.40135,0.281675,0.3415125
gsadf_v1_period,0.386725,0.2703,0.3285125
lppls_0.01_period,0.305975,0.21725,0.2616125
lppls_0.01,0.27705,0.19125,0.23415000000000002
lppls_0.10,0.257475,0.173075,0.215275
lppls_0.10_period,0.252675,0.1699,0.2112875
gsadf_ols,0.24315,0.170725,0.2069375
gsadf_ols_period,0.24315,0.170725,0.2069375
gsadf_updown,0.22705,0.1679,0.197475
gsadf_updown_period,0.223225,0.165125,0.194175
lppls_0.20,0.169025,0.10619999999999999,0.1376125
lppls_0.20_period,0.165025,0.102275,0.13365
