Metal,Variant,Model,BubDays,AUC,F1,Sens,Prec,Spec,Detected,EpDet,Note
Cobalt,gsadf_ols,LASSO,135,0.572,0.366,0.697,0.249,0.577,83/119,3/6,
Cobalt,gsadf_ols,RF,135,0.58,0.314,0.891,0.19,0.239,106/119,5/6,
Cobalt,gsadf_ols,XGBoost,135,0.539,0.315,0.815,0.196,0.327,97/119,5/6,
Cobalt,gsadf_ols,LightGBM,135,0.517,0.329,0.765,0.209,0.42,91/119,5/6,
Cobalt,gsadf_ols,CatBoost,135,0.47,0.302,0.983,0.178,0.089,117/119,6/6,
Cobalt,gsadf_ols_period,LASSO,135,0.572,0.366,0.697,0.249,0.577,83/119,3/6,
Cobalt,gsadf_ols_period,RF,135,0.58,0.314,0.891,0.19,0.239,106/119,5/6,
Cobalt,gsadf_ols_period,XGBoost,135,0.539,0.315,0.815,0.196,0.327,97/119,5/6,
Cobalt,gsadf_ols_period,LightGBM,135,0.517,0.329,0.765,0.209,0.42,91/119,5/6,
Cobalt,gsadf_ols_period,CatBoost,135,0.47,0.302,0.983,0.178,0.089,117/119,6/6,
Cobalt,gsadf_v1,LASSO,76,0.736,0.223,0.509,0.143,0.84,27/53,6/9,
Cobalt,gsadf_v1,RF,76,0.609,0.194,0.113,0.667,0.997,6/53,2/9,
Cobalt,gsadf_v1,XGBoost,76,0.709,0.189,0.604,0.112,0.751,32/53,7/9,
Cobalt,gsadf_v1,LightGBM,76,0.708,0.202,0.509,0.126,0.816,27/53,6/9,
Cobalt,gsadf_v1,CatBoost,76,0.762,0.275,0.264,0.286,0.966,14/53,2/9,
Cobalt,gsadf_v1_period,LASSO,77,0.631,0.227,0.717,0.135,0.63,38/53,4/5,
Cobalt,gsadf_v1_period,RF,77,0.656,0.211,0.962,0.119,0.425,51/53,5/5,
Cobalt,gsadf_v1_period,XGBoost,77,0.661,0.234,0.547,0.149,0.748,29/53,3/5,
Cobalt,gsadf_v1_period,LightGBM,77,0.672,0.229,0.547,0.145,0.741,29/53,3/5,
Cobalt,gsadf_v1_period,CatBoost,77,0.726,0.345,0.358,0.333,0.942,19/53,4/5,
Cobalt,lppls_0.10,LASSO,53,0.895,0.415,0.562,0.329,0.946,27/48,6/6,
Cobalt,lppls_0.10,RF,53,0.796,0.229,0.917,0.131,0.713,44/48,6/6,
Cobalt,lppls_0.10,XGBoost,53,0.779,0.256,0.583,0.164,0.86,28/48,6/6,
Cobalt,lppls_0.10,LightGBM,53,0.756,0.286,0.25,0.333,0.976,12/48,2/6,
Cobalt,lppls_0.10,CatBoost,53,0.787,0.278,0.208,0.417,0.986,10/48,1/6,
Cobalt,lppls_0.10_period,LASSO,56,0.883,0.248,0.565,0.159,0.9,13/23,2/2,
Cobalt,lppls_0.10_period,RF,56,0.887,0.311,0.609,0.209,0.923,14/23,2/2,
Cobalt,lppls_0.10_period,XGBoost,56,0.878,0.248,0.826,0.146,0.839,19/23,2/2,
Cobalt,lppls_0.10_period,LightGBM,56,0.847,0.256,0.217,0.312,0.984,5/23,1/2,
Cobalt,lppls_0.10_period,CatBoost,56,0.85,0.246,0.609,0.154,0.888,14/23,1/2,
Cobalt,lppls_0.05,LASSO,64,0.909,0.515,0.593,0.455,0.958,35/59,5/7,
Cobalt,lppls_0.05,RF,64,0.768,0.249,0.831,0.147,0.718,49/59,5/7,
Cobalt,lppls_0.05,XGBoost,64,0.72,0.226,0.542,0.143,0.81,32/59,4/7,
Cobalt,lppls_0.05,LightGBM,64,0.723,0.201,0.576,0.121,0.756,34/59,4/7,
Cobalt,lppls_0.05,CatBoost,64,0.697,0.198,0.136,0.364,0.986,8/59,1/7,
Cobalt,lppls_0.05_period,LASSO,71,0.826,0.317,0.857,0.194,0.777,54/63,4/4,
Cobalt,lppls_0.05_period,RF,71,0.772,0.259,0.444,0.183,0.876,28/63,4/4,
Cobalt,lppls_0.05_period,XGBoost,71,0.678,0.182,0.587,0.108,0.695,37/63,4/4,
Cobalt,lppls_0.05_period,LightGBM,71,0.734,0.218,0.952,0.123,0.575,60/63,4/4,
Cobalt,lppls_0.05_period,CatBoost,71,0.653,0.211,0.444,0.138,0.826,28/63,3/4,
Cobalt,lppls_0.01,LASSO,64,0.909,0.515,0.593,0.455,0.958,35/59,5/7,
