Metal,Variant,Model,BubDays,AUC,F1,Sens,Prec,Spec,Detected,EpDet,Note
Cobalt,lppls_0.01,LASSO,64,0.909,0.515,0.593,0.455,0.958,35/59,5/7,
Cobalt,lppls_0.20,LASSO,20,0.981,0.5,1.0,0.333,0.972,5/5,1/1,
Cobalt,lppls_0.20_period,LASSO,17,0.978,0.429,1.0,0.273,0.977,3/3,1/1,
Cobalt,lppls_0.10,LASSO,53,0.895,0.415,0.562,0.329,0.946,27/48,6/6,
Cobalt,gsadf_ols,LASSO,135,0.572,0.366,0.697,0.249,0.577,83/119,3/6,
Cobalt,gsadf_ols_period,LASSO,135,0.572,0.366,0.697,0.249,0.577,83/119,3/6,
Cobalt,gsadf_v1_period,CatBoost,77,0.726,0.345,0.358,0.333,0.942,19/53,4/5,
Cobalt,lppls_0.01_period,LASSO,92,0.753,0.322,0.759,0.205,0.751,63/83,3/5,
Cobalt,lppls_0.10_period,RF,56,0.887,0.311,0.609,0.209,0.923,14/23,2/2,
Cobalt,gsadf_v1,CatBoost,76,0.762,0.275,0.264,0.286,0.966,14/53,2/9,
Copper,gsadf_ols,LASSO,25,0.998,0.923,0.857,1.0,1.0,6/7,1/1,
Copper,gsadf_ols_period,LASSO,25,0.998,0.923,0.857,1.0,1.0,6/7,1/1,
Copper,gsadf_v1_period,CatBoost,27,0.966,0.444,1.0,0.286,0.957,6/6,1/1,
Copper,gsadf_v1,CatBoost,31,0.953,0.4,0.75,0.273,0.954,6/8,1/2,
Copper,lppls_0.10,CatBoost,115,0.61,0.325,0.248,0.473,0.978,26/105,6/22,
Copper,lppls_0.01,RF,143,0.546,0.32,0.308,0.333,0.936,41/133,4/28,
Copper,lppls_0.01_period,CatBoost,203,0.549,0.296,0.357,0.253,0.845,65/182,4/11,
Copper,lppls_0.10_period,CatBoost,125,0.645,0.284,0.265,0.307,0.946,31/117,3/9,
Copper,lppls_0.20,LASSO,54,0.637,0.216,0.333,0.159,0.944,11/33,2/9,
Copper,lppls_0.20_period,LightGBM,49,0.734,0.172,0.767,0.097,0.793,23/30,3/4,
Lithium,gsadf_ols,XGBoost,466,0.501,0.633,0.978,0.468,0.429,354/362,2/3,
Lithium,gsadf_ols_period,XGBoost,466,0.501,0.633,0.978,0.468,0.429,354/362,2/3,
Lithium,gsadf_v1_period,LASSO,332,0.776,0.566,0.685,0.483,0.781,224/327,7/13,
Lithium,gsadf_v1,LASSO,281,0.75,0.466,0.652,0.363,0.79,180/276,22/35,
Lithium,lppls_0.01_period,XGBoost,111,0.666,0.397,0.324,0.511,0.966,23/71,4/7,
Lithium,lppls_0.01,RF,83,0.672,0.267,0.267,0.267,0.968,12/45,5/10,
Lithium,lppls_0.10,LASSO,59,0.754,0.242,0.645,0.149,0.833,20/31,4/7,
Lithium,lppls_0.10_period,LASSO,45,0.555,0.174,0.65,0.101,0.655,13/20,2/4,
Lithium,lppls_0.20,LASSO,19,0.455,0.065,0.778,0.034,0.429,7/9,2/2,
Lithium,lppls_0.20_period,LASSO,19,0.628,0.06,1.0,0.031,0.466,6/6,1/1,
Nickel,gsadf_v1,LASSO,21,0.928,0.769,0.714,0.833,0.997,5/7,1/1,
Nickel,gsadf_v1_period,LASSO,21,0.884,0.667,0.714,0.625,0.991,5/7,1/1,
Nickel,lppls_0.01_period,LASSO,203,0.481,0.361,1.0,0.221,0.088,146/146,8/8,
Nickel,lppls_0.10_period,LightGBM,140,0.477,0.278,0.933,0.163,0.173,98/105,10/10,
Nickel,lppls_0.10,LASSO,123,0.573,0.265,0.777,0.16,0.379,73/94,20/20,
Nickel,lppls_0.01,LASSO,129,0.549,0.264,0.694,0.163,0.43,68/98,17/19,
Nickel,lppls_0.20,CatBoost,44,0.45,0.109,0.892,0.058,0.204,33/37,11/13,
Nickel,lppls_0.20_period,LASSO,37,0.344,0.08,1.0,0.042,0.167,25/25,3/3,
