metal,pair,jaccard,precision_vs_gsadf,recall_vs_gsadf
Cobalt,gsadf–lppls,0.034722222222222224,,
Cobalt,gsadf–cusum,0.17703349282296652,,
Cobalt,lppls–cusum,0.12612612612612611,,
Cobalt,LPPLS_vs_GSADF_PR,,0.35714285714285715,0.037037037037037035
Cobalt,CUSUM_vs_GSADF_PR,,0.3333333333333333,0.2740740740740741
Copper,gsadf–lppls,0.06521739130434782,,
Copper,gsadf–cusum,0.10101010101010101,,
Copper,lppls–cusum,0.06310679611650485,,
Copper,LPPLS_vs_GSADF_PR,,0.12,0.125
Copper,CUSUM_vs_GSADF_PR,,0.10309278350515463,0.8333333333333334
Lithium,gsadf–lppls,0.027896995708154508,,
Lithium,gsadf–cusum,0.3217726396917148,,
Lithium,lppls–cusum,0.05909090909090909,,
Lithium,LPPLS_vs_GSADF_PR,,1.0,0.027896995708154508
Lithium,CUSUM_vs_GSADF_PR,,0.759090909090909,0.3583690987124464
Nickel,gsadf–lppls,0.0,,
Nickel,gsadf–cusum,0.07291666666666667,,
Nickel,lppls–cusum,0.037037037037037035,,
Nickel,LPPLS_vs_GSADF_PR,,0.0,0.0
Nickel,CUSUM_vs_GSADF_PR,,0.07608695652173914,0.6363636363636364
