Date;Price;;;;;
13-May-2025;15,558.82;;;;;
12-May-2025;15,456.58;;;;;
09-May-2025;15,645.98;;;;;
08-May-2025;15,385.90;;;;;
07-May-2025;15,377.31;;;;;
06-May-2025;15,526.87;;;;;
02-May-2025;15,321.99;;;;;
01-May-2025;15,096.65;;;;;
30-Apr-2025;15,269.98;;;;;
29-Apr-2025;15,407.62;;;;;
28-Apr-2025;15,475.58;;;;;
25-Apr-2025;15,407.71;;;;;
24-Apr-2025;15,684.38;;;;;
23-Apr-2025;15,524.18;;;;;
22-Apr-2025;15,545.52;;;;;
17-Apr-2025;15,494.24;;;;;
16-Apr-2025;15,552.42;;;;;
15-Apr-2025;;;;;;
14-Apr-2025;15,096.30;;;;;
11-Apr-2025;14,869.77;;;;;
10-Apr-2025;14,598.95;;;;;
09-Apr-2025;13,885.65;;;;;
08-Apr-2025;13,980.04;;;;;
07-Apr-2025;14,162.93;;;;;
04-Apr-2025;14,557.20;;;;;
03-Apr-2025;15,545.57;;;;;
02-Apr-2025;15,781.77;;;;;
01-Apr-2025;15,922.44;;;;;
31-Mar-2025;15,734.86;;;;;
28-Mar-2025;16,202.89;;;;;
27-Mar-2025;16,069.60;;;;;
26-Mar-2025;16,067.32;;;;;
25-Mar-2025;15,988.57;;;;;
24-Mar-2025;15,842.93;;;;;
21-Mar-2025;15,898.31;;;;;
20-Mar-2025;16,128.03;;;;;
19-Mar-2025;16,242.69;;;;;
18-Mar-2025;;;;;;
17-Mar-2025;16,200.05;;;;;
14-Mar-2025;16,253.44;;;;;
13-Mar-2025;16,293.37;;;;;
12-Mar-2025;16,432.12;;;;;
11-Mar-2025;16,291.35;;;;;
10-Mar-2025;16,354.93;;;;;
07-Mar-2025;16,315.78;;;;;
06-Mar-2025;16,111.32;;;;;
05-Mar-2025;15,717.76;;;;;
04-Mar-2025;15,815.73;;;;;
03-Mar-2025;15,750.33;;;;;
28-Feb-2025;15,296.88;;;;;
27-Feb-2025;15,694.01;;;;;
26-Feb-2025;15,432.82;;;;;
25-Feb-2025;15,176.88;;;;;
24-Feb-2025;15,291.40;;;;;
21-Feb-2025;15,366.03;;;;;
20-Feb-2025;15,514.73;;;;;
19-Feb-2025;15,254.09;;;;;
18-Feb-2025;;;;;;
17-Feb-2025;15,280.94;;;;;
14-Feb-2025;15,262.23;;;;;
13-Feb-2025;15,165.32;;;;;
12-Feb-2025;15,211.44;;;;;
11-Feb-2025;15,331.19;;;;;
10-Feb-2025;15,318.74;;;;;
07-Feb-2025;15,561.80;;;;;
06-Feb-2025;15,623.49;;;;;
05-Feb-2025;15,346.30;;;;;
04-Feb-2025;15,086.12;;;;;
03-Feb-2025;15,035.57;;;;;
31-Jan-2025;15,044.12;;;;;
30-Jan-2025;15,226.03;;;;;
29-Jan-2025;15,335.46;;;;;
28-Jan-2025;15,276.40;;;;;
27-Jan-2025;15,398.62;;;;;
24-Jan-2025;15,519.76;;;;;
23-Jan-2025;15,522.25;;;;;
22-Jan-2025;15,570.20;;;;;
21-Jan-2025;15,927.24;;;;;
20-Jan-2025;15,954.52;;;;;
17-Jan-2025;15,959.10;;;;;
16-Jan-2025;15,824.29;;;;;
15-Jan-2025;15,709.05;;;;;
14-Jan-2025;;;;;;
13-Jan-2025;15,675.79;;;;;
10-Jan-2025;15,452.81;;;;;
09-Jan-2025;15,278.04;;;;;
08-Jan-2025;15,241.64;;;;;
07-Jan-2025;15,187.48;;;;;
06-Jan-2025;14,966.06;;;;;
03-Jan-2025;14,905.00;;;;;
02-Jan-2025;14,873.18;;;;;
31-Dec-2024;15,140.07;;;;;
30-Dec-2024;15,224.83;;;;;
27-Dec-2024;15,133.88;;;;;
24-Dec-2024;15,302.05;;;;;
23-Dec-2024;15,114.72;;;;;
20-Dec-2024;15,198.66;;;;;
19-Dec-2024;14,948.27;;;;;
18-Dec-2024;15,344.52;;;;;
17-Dec-2024;;;;;;
16-Dec-2024;15,474.51;;;;;
13-Dec-2024;15,636.39;;;;;
12-Dec-2024;15,946.70;;;;;
11-Dec-2024;15,636.90;;;;;
10-Dec-2024;15,497.44;;;;;
09-Dec-2024;15,782.87;;;;;
06-Dec-2024;15,846.52;;;;;
05-Dec-2024;15,781.47;;;;;
04-Dec-2024;15,917.25;;;;;
03-Dec-2024;15,829.32;;;;;
02-Dec-2024;15,502.23;;;;;
29-Nov-2024;15,716.27;;;;;
28-Nov-2024;15,882.58;;;;;
27-Nov-2024;15,700.26;;;;;
26-Nov-2024;15,815.33;;;;;
25-Nov-2024;16,027.66;;;;;
22-Nov-2024;15,801.13;;;;;
21-Nov-2024;15,543.57;;;;;
20-Nov-2024;15,739.37;;;;;
19-Nov-2024;;;;;;
18-Nov-2024;15,486.33;;;;;
15-Nov-2024;15,294.72;;;;;
14-Nov-2024;15,379.09;;;;;
13-Nov-2024;15,494.31;;;;;
12-Nov-2024;15,661.01;;;;;
11-Nov-2024;15,874.58;;;;;
08-Nov-2024;16,179.25;;;;;
07-Nov-2024;16,368.33;;;;;
06-Nov-2024;15,907.53;;;;;
05-Nov-2024;15,905.94;;;;;
04-Nov-2024;15,791.74;;;;;
01-Nov-2024;15,737.09;;;;;
31-Oct-2024;15,507.64;;;;;
30-Oct-2024;15,610.58;;;;;
29-Oct-2024;15,673.88;;;;;
28-Oct-2024;15,818.73;;;;;
25-Oct-2024;15,990.11;;;;;
24-Oct-2024;16,119.37;;;;;
23-Oct-2024;16,133.55;;;;;
22-Oct-2024;16,142.18;;;;;
21-Oct-2024;16,528.42;;;;;
18-Oct-2024;16,733.45;;;;;
17-Oct-2024;16,844.17;;;;;
16-Oct-2024;17,118.41;;;;;
15-Oct-2024;;;;;;
14-Oct-2024;17,409.09;;;;;
11-Oct-2024;17,618.14;;;;;
10-Oct-2024;17,291.70;;;;;
09-Oct-2024;17,124.41;;;;;
08-Oct-2024;17,538.17;;;;;
07-Oct-2024;17,816.25;;;;;
04-Oct-2024;17,768.42;;;;;
03-Oct-2024;17,370.77;;;;;
02-Oct-2024;17,941.38;;;;;
01-Oct-2024;17,496.18;;;;;
30-Sep-2024;17,314.47;;;;;
27-Sep-2024;16,803.10;;;;;
26-Sep-2024;16,549.58;;;;;
25-Sep-2024;16,617.10;;;;;
24-Sep-2024;16,533.12;;;;;
23-Sep-2024;16,374.65;;;;;
20-Sep-2024;16,349.42;;;;;
19-Sep-2024;16,175.02;;;;;
18-Sep-2024;16,067.73;;;;;
17-Sep-2024;;;;;;
16-Sep-2024;16,033.92;;;;;
13-Sep-2024;15,711.69;;;;;
12-Sep-2024;15,906.57;;;;;
11-Sep-2024;15,883.87;;;;;
10-Sep-2024;15,517.30;;;;;
09-Sep-2024;15,680.18;;;;;
06-Sep-2024;15,664.10;;;;;
05-Sep-2024;15,851.43;;;;;
04-Sep-2024;15,999.64;;;;;
03-Sep-2024;16,252.37;;;;;
02-Sep-2024;16,431.96;;;;;
30-Aug-2024;16,589.74;;;;;
29-Aug-2024;16,827.11;;;;;
28-Aug-2024;16,845.35;;;;;
27-Aug-2024;16,971.83;;;;;
23-Aug-2024;16,607.40;;;;;
22-Aug-2024;16,435.78;;;;;
21-Aug-2024;16,751.79;;;;;
20-Aug-2024;;;;;;
19-Aug-2024;16,412.70;;;;;
