Date,Price
2017-01-03,691.0
2017-01-04,676.0
2017-01-05,676.0
2017-01-06,676.0
2017-01-09,676.0
2017-01-10,676.0
2017-01-11,676.0
2017-01-12,706.0
2017-01-13,706.0
2017-01-16,706.0
2017-01-17,706.0
2017-01-18,706.0
2017-01-19,706.0
2017-01-20,706.0
2017-01-23,704.0
2017-01-24,704.0
2017-01-25,704.0
2017-01-26,704.0
2017-01-27,668.0
2017-01-30,653.0
2017-01-31,653.0
2017-02-01,652.0
2017-02-02,652.0
2017-02-03,652.0
2017-02-06,644.0
2017-02-07,644.0
2017-02-08,644.0
2017-02-09,644.0
2017-02-10,644.0
2017-02-13,638.0
2017-02-14,677.0
2017-02-15,677.0
2017-02-16,677.0
2017-02-17,677.0
2017-02-20,677.0
2017-02-21,724.0
2017-02-22,724.0
2017-02-23,723.0
2017-02-24,723.0
2017-02-27,723.0
2017-02-28,718.0
2017-03-01,718.0
2017-03-02,718.0
2017-03-03,722.0
2017-03-06,718.0
2017-03-07,718.0
2017-03-08,718.0
2017-03-09,718.0
2017-03-10,718.0
2017-03-13,718.0
2017-03-14,726.0
2017-03-15,726.0
2017-03-16,726.0
2017-03-17,726.0
2017-03-20,726.0
2017-03-21,726.0
2017-03-22,726.0
2017-03-23,726.0
2017-03-24,726.0
2017-03-27,726.0
2017-03-28,726.0
2017-03-29,726.0
2017-03-30,726.0
2017-03-31,726.0
2017-04-03,726.0
2017-04-04,711.0
2017-04-05,705.0
2017-04-06,705.0
2017-04-07,705.0
2017-04-10,705.0
2017-04-11,769.0
2017-04-12,789.0
2017-04-13,789.0
2017-04-18,784.0
2017-04-19,779.0
2017-04-20,779.0
2017-04-21,779.0
2017-04-24,779.0
2017-04-25,769.0
2017-04-26,769.0
2017-04-27,769.0
2017-04-28,789.0
2017-05-02,771.0
2017-05-03,771.0
2017-05-04,771.0
2017-05-05,763.0
2017-05-08,761.0
2017-05-09,746.0
2017-05-10,746.0
2017-05-11,746.0
2017-05-12,746.0
2017-05-15,725.0
2017-05-16,725.0
2017-05-17,745.0
2017-05-18,745.0
2017-05-19,745.0
2017-05-22,745.0
2017-05-23,745.0
2017-05-24,745.0
2017-05-25,745.0
2017-05-26,745.0
2017-05-30,745.0
2017-05-31,745.0
2017-06-01,745.0
2017-06-02,744.0
2017-06-05,744.0
2017-06-06,728.0
2017-06-07,728.0
2017-06-08,728.0
2017-06-09,748.0
2017-06-12,748.0
2017-06-13,748.0
2017-06-14,748.0
2017-06-15,750.0
2017-06-16,741.0
2017-06-19,741.0
2017-06-20,741.0
2017-06-21,741.0
2017-06-22,741.0
2017-06-23,741.0
2017-06-26,741.0
2017-06-27,741.0
2017-06-28,741.0
2017-06-29,741.0
2017-06-30,741.0
2017-07-03,717.0
2017-07-04,709.0
2017-07-05,709.0
2017-07-06,709.0
2017-07-07,713.0
2017-07-10,713.0
2017-07-11,713.0
2017-07-12,713.0
2017-07-13,706.0
2017-07-14,706.0
2017-07-17,706.0
2017-07-18,706.0
2017-07-19,706.0
2017-07-20,706.0
2017-07-21,706.0
2017-07-24,706.0
2017-07-25,706.0
2017-07-26,706.0
2017-07-27,706.0
2017-07-28,706.0
2017-07-31,694.0
2017-08-01,687.0
2017-08-02,687.0
2017-08-03,687.0
2017-08-04,687.0
2017-08-07,677.0
2017-08-08,676.0
2017-08-09,675.0
2017-08-10,675.0
2017-08-11,675.0
2017-08-14,692.0
2017-08-15,692.0
2017-08-16,692.0
2017-08-17,692.0
2017-08-18,689.0
2017-08-21,684.0
2017-08-22,684.0
2017-08-23,684.0
2017-08-24,684.0
2017-08-25,724.0
2017-08-29,724.0
2017-08-30,724.0
2017-08-31,744.0
2017-09-01,734.0
2017-09-04,724.0
2017-09-05,724.0
2017-09-06,724.0
2017-09-07,763.0
2017-09-08,745.0
2017-09-11,740.0
2017-09-12,740.0
2017-09-13,740.0
2017-09-14,760.0
2017-09-15,800.0
2017-09-18,800.0
2017-09-19,820.0
2017-09-20,820.0
2017-09-21,820.0
2017-09-22,817.0
2017-09-25,817.0
2017-09-26,808.0
2017-09-27,808.0
2017-09-28,808.0
2017-09-29,805.0
2017-10-02,793.0
2017-10-03,793.0
2017-10-04,793.0
2017-10-05,793.0
2017-10-06,793.0
2017-10-09,785.0
2017-10-10,785.0
2017-10-11,770.0
2017-10-12,770.0
2017-10-13,759.0
2017-10-16,751.0
2017-10-17,751.0
2017-10-18,751.0
2017-10-19,751.0
2017-10-20,750.0
2017-10-23,750.0
2017-10-24,750.0
2017-10-25,750.0
2017-10-26,750.0
2017-10-27,750.0
2017-10-30,750.0
2017-10-31,750.0
2017-11-01,750.0
2017-11-02,750.0
2017-11-03,770.0
2017-11-06,768.0
2017-11-07,751.0
2017-11-08,751.0
2017-11-09,751.0
2017-11-10,751.0
2017-11-13,751.0
2017-11-14,733.0
2017-11-15,733.0
2017-11-16,733.0
2017-11-17,729.0
2017-11-20,729.0
2017-11-21,729.0
2017-11-22,725.0
2017-11-23,725.0
2017-11-24,725.0
2017-11-27,725.0
2017-11-28,725.0
2017-11-29,725.0
2017-11-30,725.0
2017-12-01,725.0
2017-12-04,725.0
2017-12-05,713.0
2017-12-06,672.0
2017-12-07,672.0
2017-12-08,672.0
2017-12-11,672.0
2017-12-12,672.0
2017-12-13,672.0
2017-12-14,669.0
2017-12-15,669.0
2017-12-18,669.0
2017-12-19,669.0
2017-12-20,669.0
2017-12-21,584.0
2017-12-22,604.0
2017-12-27,554.0
2017-12-28,554.0
2017-12-29,580.0
2018-01-02,580.0
2018-01-03,600.0
2018-01-04,592.0
2018-01-05,592.0
2018-01-08,592.0
2018-01-09,574.0
2018-01-10,572.0
2018-01-11,572.0
2018-01-12,571.0
2018-01-15,571.0
2018-01-16,555.0
2018-01-17,555.0
2018-01-18,554.0
2018-01-19,549.0
2018-01-22,549.0
2018-01-23,549.0
2018-01-24,549.0
2018-01-25,549.0
2018-01-26,549.0
2018-01-29,544.0
2018-01-30,544.0
2018-01-31,544.0
2018-02-01,544.0
2018-02-02,560.0
2018-02-05,535.0
2018-02-06,535.0
2018-02-07,535.0
2018-02-08,535.0
2018-02-09,535.0
2018-02-12,535.0
2018-02-13,535.0
2018-02-14,535.0
2018-02-15,535.0
2018-02-16,535.0
2018-02-19,535.0
2018-02-20,525.0
2018-02-21,499.0
2018-02-22,499.0
2018-02-23,499.0
2018-02-26,519.0
2018-02-27,519.0
2018-02-28,519.0
2018-03-01,538.0
2018-03-02,546.0
2018-03-05,546.0
2018-03-06,546.0
2018-03-07,546.0
2018-03-08,545.0
2018-03-09,537.0
2018-03-12,537.0
2018-03-13,537.0
2018-03-14,562.0
2018-03-15,562.0
2018-03-16,562.0
2018-03-19,562.0
2018-03-20,562.0
2018-03-21,538.0
2018-03-22,538.0
2018-03-23,538.0
2018-03-26,538.0
2018-03-27,538.0
2018-03-28,538.0
2018-03-29,538.0
2018-04-03,548.0
2018-04-04,548.0
2018-04-05,548.0
2018-04-06,548.0
2018-04-09,548.0
2018-04-10,548.0
2018-04-11,558.0
2018-04-12,558.0
2018-04-13,558.0
2018-04-16,558.0
2018-04-17,558.0
2018-04-18,557.0
2018-04-19,557.0
2018-04-20,577.0
2018-04-23,577.0
2018-04-24,587.0
2018-04-25,587.0
2018-04-26,587.0
2018-04-27,587.0
2018-04-30,587.0
2018-05-01,587.0
2018-05-02,587.0
2018-05-03,586.0
2018-05-04,586.0
2018-05-08,586.0
2018-05-09,586.0
2018-05-10,586.0
2018-05-11,586.0
2018-05-14,585.0
2018-05-15,585.0
2018-05-16,585.0
2018-05-17,585.0
2018-05-18,585.0
2018-05-21,585.0
2018-05-22,585.0
2018-05-23,585.0
2018-05-24,605.0
2018-05-25,605.0
2018-05-29,610.0
2018-05-30,610.0
2018-05-31,610.0
2018-06-01,610.0
2018-06-04,610.0
2018-06-05,610.0
2018-06-06,640.0
2018-06-07,640.0
2018-06-08,640.0
2018-06-11,640.0
2018-06-12,640.0
2018-06-13,640.0
2018-06-14,637.0
2018-06-15,637.0
2018-06-18,637.0
2018-06-19,636.0
2018-06-20,636.0
2018-06-21,636.0
2018-06-22,636.0
2018-06-25,636.0
2018-06-26,636.0
2018-06-27,636.0
2018-06-28,636.0
2018-06-29,636.0
2018-07-02,628.0
2018-07-03,644.0
2018-07-04,644.0
2018-07-05,641.0
2018-07-06,641.0
2018-07-09,640.0
2018-07-10,640.0
2018-07-11,638.0
2018-07-12,638.0
2018-07-13,638.0
2018-07-16,615.0
2018-07-17,615.0
2018-07-18,615.0
2018-07-19,615.0
2018-07-20,664.0
2018-07-23,664.0
2018-07-24,655.0
2018-07-25,655.0
2018-07-26,651.0
2018-07-27,651.0
2018-07-30,651.0
2018-07-31,651.0
2018-08-01,661.0
2018-08-02,653.0
2018-08-03,653.0
2018-08-06,653.0
2018-08-07,653.0
2018-08-08,652.0
2018-08-09,652.0
2018-08-10,652.0
2018-08-13,651.0
2018-08-14,651.0
2018-08-15,651.0
2018-08-16,651.0
2018-08-17,651.0
2018-08-20,650.0
2018-08-21,650.0
2018-08-22,650.0
2018-08-23,650.0
2018-08-24,650.0
2018-08-28,650.0
2018-08-29,650.0
2018-08-30,690.0
2018-08-31,690.0
2018-09-03,690.0
2018-09-04,690.0
2018-09-05,690.0
2018-09-06,693.0
2018-09-07,693.0
2018-09-10,693.0
2018-09-11,698.0
2018-09-12,699.0
2018-09-13,706.0
2018-09-14,702.0
2018-09-17,708.0
2018-09-18,711.0
2018-09-19,715.0
2018-09-20,723.0
2018-09-21,723.0
2018-09-24,723.0
