Date;Price;;;;;
13-May-2025;15,465;;;;;
12-May-2025;15,373;;;;;
09-May-2025;15,510;;;;;
08-May-2025;15,456;;;;;
07-May-2025;15,572;;;;;
02-May-2025;15,179;;;;;
01-May-2025;15,008;;;;;
30-Apr-2025;15,161;;;;;
28-Apr-2025;15,180;;;;;
25-Apr-2025;15,237;;;;;
24-Apr-2025;15,170;;;;;
23-Apr-2025;15,372;;;;;
22-Apr-2025;15,663;;;;;
21-Apr-2025;15,262;;;;;
18-Apr-2025;15,265;;;;;
17-Apr-2025;15,259;;;;;
16-Apr-2025;15,050;;;;;
15-Apr-2025;14,831;;;;;
14-Apr-2025;14,814;;;;;
11-Apr-2025;14,813;;;;;
10-Apr-2025;14,730;;;;;
09-Apr-2025;14,103;;;;;
08-Apr-2025;14,270;;;;;
07-Apr-2025;14,250;;;;;
04-Apr-2025;14,491;;;;;
03-Apr-2025;14,783;;;;;
02-Apr-2025;15,010;;;;;
01-Apr-2025;15,135;;;;;
31-Mar-2025;14,942;;;;;
28-Mar-2025;14,925;;;;;
27-Mar-2025;14,656;;;;;
26-Mar-2025;14,640;;;;;
25-Mar-2025;14,598;;;;;
24-Mar-2025;14,543;;;;;
21-Mar-2025;14,586;;;;;
19-Mar-2025;14,642;;;;;
18-Mar-2025;14,494;;;;;
17-Mar-2025;14,327;;;;;
14-Mar-2025;14,250;;;;;
13-Mar-2025;13,954;;;;;
12-Mar-2025;13,894;;;;;
11-Mar-2025;13,706;;;;;
10-Mar-2025;13,817;;;;;
07-Mar-2025;13,786;;;;;
06-Mar-2025;13,989;;;;;
05-Mar-2025;14,038;;;;;
04-Mar-2025;13,861;;;;;
03-Mar-2025;13,846;;;;;
28-Feb-2025;13,797;;;;;
27-Feb-2025;13,859;;;;;
26-Feb-2025;13,970;;;;;
25-Feb-2025;14,120;;;;;
21-Feb-2025;14,109;;;;;
20-Feb-2025;14,160;;;;;
19-Feb-2025;14,265;;;;;
18-Feb-2025;14,153;;;;;
17-Feb-2025;14,065;;;;;
14-Feb-2025;14,302;;;;;
13-Feb-2025;14,345;;;;;
12-Feb-2025;14,213;;;;;
10-Feb-2025;14,032;;;;;
07-Feb-2025;13,966;;;;;
06-Feb-2025;14,042;;;;;
05-Feb-2025;14,055;;;;;
04-Feb-2025;13,987;;;;;
03-Feb-2025;13,882;;;;;
31-Jan-2025;13,867;;;;;
30-Jan-2025;13,729;;;;;
29-Jan-2025;13,778;;;;;
28-Jan-2025;13,734;;;;;
27-Jan-2025;13,801;;;;;
24-Jan-2025;13,825;;;;;
23-Jan-2025;13,864;;;;;
22-Jan-2025;13,764;;;;;
21-Jan-2025;13,618;;;;;
20-Jan-2025;13,594;;;;;
17-Jan-2025;13,568;;;;;
16-Jan-2025;13,531;;;;;
15-Jan-2025;13,586;;;;;
14-Jan-2025;13,531;;;;;
10-Jan-2025;13,630;;;;;
09-Jan-2025;13,535;;;;;
08-Jan-2025;13,462;;;;;
07-Jan-2025;13,391;;;;;
06-Jan-2025;13,355;;;;;
30-Dec-2024;13,314;;;;;
27-Dec-2024;13,366;;;;;
26-Dec-2024;13,293;;;;;
25-Dec-2024;13,221;;;;;
24-Dec-2024;13,153;;;;;
23-Dec-2024;13,153;;;;;
20-Dec-2024;13,112;;;;;
