Date;Price;;;;;
13-May-2025;123,370;;;;;
12-May-2025;124,620;;;;;
09-May-2025;123,370;;;;;
08-May-2025;123,880;;;;;
07-May-2025;124,070;;;;;
06-May-2025;124,330;;;;;
30-Apr-2025;123,770;;;;;
29-Apr-2025;124,300;;;;;
28-Apr-2025;124,220;;;;;
25-Apr-2025;125,580;;;;;
24-Apr-2025;125,700;;;;;
23-Apr-2025;125,760;;;;;
22-Apr-2025;125,530;;;;;
21-Apr-2025;125,420;;;;;
18-Apr-2025;125,610;;;;;
17-Apr-2025;125,660;;;;;
16-Apr-2025;124,790;;;;;
15-Apr-2025;123,620;;;;;
14-Apr-2025;122,330;;;;;
11-Apr-2025;120,750;;;;;
10-Apr-2025;118,850;;;;;
09-Apr-2025;119,070;;;;;
08-Apr-2025;119,020;;;;;
07-Apr-2025;119,040;;;;;
03-Apr-2025;127,820;;;;;
02-Apr-2025;128,970;;;;;
01-Apr-2025;128,720;;;;;
31-Mar-2025;130,390;;;;;
28-Mar-2025;130,750;;;;;
27-Mar-2025;129,990;;;;;
26-Mar-2025;129,760;;;;;
25-Mar-2025;128,830;;;;;
24-Mar-2025;129,380;;;;;
21-Mar-2025;129,520;;;;;
20-Mar-2025;129,560;;;;;
19-Mar-2025;130,420;;;;;
18-Mar-2025;130,410;;;;;
17-Mar-2025;132,640;;;;;
14-Mar-2025;132,390;;;;;
13-Mar-2025;132,830;;;;;
12-Mar-2025;132,500;;;;;
11-Mar-2025;131,420;;;;;
10-Mar-2025;131,680;;;;;
07-Mar-2025;129,620;;;;;
06-Mar-2025;127,450;;;;;
05-Mar-2025;127,580;;;;;
04-Mar-2025;127,500;;;;;
03-Mar-2025;125,630;;;;;
28-Feb-2025;126,510;;;;;
27-Feb-2025;124,700;;;;;
26-Feb-2025;123,800;;;;;
25-Feb-2025;124,370;;;;;
24-Feb-2025;124,860;;;;;
21-Feb-2025;125,040;;;;;
20-Feb-2025;124,620;;;;;
19-Feb-2025;123,780;;;;;
18-Feb-2025;123,990;;;;;
17-Feb-2025;123,450;;;;;
14-Feb-2025;124,550;;;;;
13-Feb-2025;124,220;;;;;
12-Feb-2025;124,350;;;;;
11-Feb-2025;125,080;;;;;
10-Feb-2025;126,760;;;;;
07-Feb-2025;127,110;;;;;
06-Feb-2025;125,720;;;;;
05-Feb-2025;123,130;;;;;
27-Jan-2025;123,790;;;;;
24-Jan-2025;123,790;;;;;
23-Jan-2025;124,970;;;;;
22-Jan-2025;127,470;;;;;
21-Jan-2025;127,970;;;;;
20-Jan-2025;127,890;;;;;
17-Jan-2025;128,020;;;;;
16-Jan-2025;127,570;;;;;
15-Jan-2025;127,280;;;;;
14-Jan-2025;127,550;;;;;
13-Jan-2025;126,450;;;;;
10-Jan-2025;125,140;;;;;
09-Jan-2025;125,020;;;;;
08-Jan-2025;124,360;;;;;
07-Jan-2025;122,960;;;;;
06-Jan-2025;122,730;;;;;
03-Jan-2025;122,580;;;;;
02-Jan-2025;124,180;;;;;
31-Dec-2024;124,220;;;;;
30-Dec-2024;124,210;;;;;
27-Dec-2024;125,740;;;;;
26-Dec-2024;125,500;;;;;
25-Dec-2024;125,250;;;;;
24-Dec-2024;124,480;;;;;
23-Dec-2024;124,040;;;;;
20-Dec-2024;122,380;;;;;
19-Dec-2024;123,610;;;;;
18-Dec-2024;124,250;;;;;
17-Dec-2024;125,760;;;;;
16-Dec-2024;125,950;;;;;
13-Dec-2024;128,160;;;;;
12-Dec-2024;127,360;;;;;
11-Dec-2024;125,140;;;;;
10-Dec-2024;126,420;;;;;
09-Dec-2024;126,850;;;;;
06-Dec-2024;125,260;;;;;
05-Dec-2024;125,570;;;;;
04-Dec-2024;127,120;;;;;
03-Dec-2024;124,190;;;;;
02-Dec-2024;125,330;;;;;
29-Nov-2024;126,920;;;;;
28-Nov-2024;126,110;;;;;
27-Nov-2024;126,160;;;;;
26-Nov-2024;127,900;;;;;
25-Nov-2024;126,770;;;;;
22-Nov-2024;125,890;;;;;
21-Nov-2024;127,240;;;;;
20-Nov-2024;126,090;;;;;
19-Nov-2024;124,530;;;;;
18-Nov-2024;123,870;;;;;
15-Nov-2024;123,820;;;;;
14-Nov-2024;125,030;;;;;
13-Nov-2024;125,170;;;;;
12-Nov-2024;126,980;;;;;
11-Nov-2024;127,920;;;;;
08-Nov-2024;129,340;;;;;
07-Nov-2024;125,450;;;;;
06-Nov-2024;125,430;;;;;
05-Nov-2024;123,780;;;;;
04-Nov-2024;124,350;;;;;
01-Nov-2024;123,170;;;;;
31-Oct-2024;123,460;;;;;
30-Oct-2024;124,100;;;;;
29-Oct-2024;124,150;;;;;
28-Oct-2024;126,040;;;;;
25-Oct-2024;126,380;;;;;
24-Oct-2024;125,980;;;;;
23-Oct-2024;126,510;;;;;
22-Oct-2024;128,020;;;;;
21-Oct-2024;128,950;;;;;
18-Oct-2024;128,860;;;;;
17-Oct-2024;131,700;;;;;
16-Oct-2024;133,110;;;;;
15-Oct-2024;133,650;;;;;
14-Oct-2024;134,120;;;;;
11-Oct-2024;133,460;;;;;
10-Oct-2024;129,330;;;;;
09-Oct-2024;134,700;;;;;
08-Oct-2024;134,510;;;;;
30-Sep-2024;130,360;;;;;
27-Sep-2024;128,470;;;;;
26-Sep-2024;128,410;;;;;
25-Sep-2024;127,740;;;;;
24-Sep-2024;125,810;;;;;
23-Sep-2024;125,240;;;;;
20-Sep-2024;125,550;;;;;
19-Sep-2024;124,470;;;;;
18-Sep-2024;123,270;;;;;
13-Sep-2024;123,910;;;;;
12-Sep-2024;123,920;;;;;
11-Sep-2024;121,110;;;;;
10-Sep-2024;121,160;;;;;
09-Sep-2024;122,240;;;;;
06-Sep-2024;123,470;;;;;
05-Sep-2024;124,290;;;;;
04-Sep-2024;126,180;;;;;
03-Sep-2024;128,370;;;;;
02-Sep-2024;128,260;;;;;
30-Aug-2024;131,270;;;;;
29-Aug-2024;131,260;;;;;
28-Aug-2024;131,820;;;;;
27-Aug-2024;131,700;;;;;
26-Aug-2024;130,190;;;;;
23-Aug-2024;129,120;;;;;
22-Aug-2024;130,170;;;;;
21-Aug-2024;130,960;;;;;
20-Aug-2024;129,910;;;;;
19-Aug-2024;128,850;;;;;
16-Aug-2024;128,950;;;;;
15-Aug-2024;128,180;;;;;
14-Aug-2024;127,190;;;;;
13-Aug-2024;128,520;;;;;
12-Aug-2024;128,500;;;;;
09-Aug-2024;128,900;;;;;
08-Aug-2024;127,330;;;;;
07-Aug-2024;128,920;;;;;
06-Aug-2024;128,610;;;;;
05-Aug-2024;129,990;;;;;
02-Aug-2024;130,090;;;;;
01-Aug-2024;132,660;;;;;
31-Jul-2024;129,820;;;;;
30-Jul-2024;127,150;;;;;
29-Jul-2024;126,540;;;;;
26-Jul-2024;125,860;;;;;
25-Jul-2024;125,360;;;;;
24-Jul-2024;128,110;;;;;
23-Jul-2024;128,120;;;;;
22-Jul-2024;128,660;;;;;
19-Jul-2024;130,380;;;;;
18-Jul-2024;130,480;;;;;
17-Jul-2024;132,350;;;;;
16-Jul-2024;133,260;;;;;
15-Jul-2024;134,280;;;;;
12-Jul-2024;132,710;;;;;
11-Jul-2024;133,100;;;;;
10-Jul-2024;135,610;;;;;
09-Jul-2024;136,780;;;;;
08-Jul-2024;137,190;;;;;
05-Jul-2024;136,480;;;;;
04-Jul-2024;137,500;;;;;
03-Jul-2024;136,370;;;;;
02-Jul-2024;136,640;;;;;
01-Jul-2024;135,460;;;;;
28-Jun-2024;134,980;;;;;
27-Jun-2024;134,990;;;;;
26-Jun-2024;134,100;;;;;
25-Jun-2024;134,890;;;;;
24-Jun-2024;134,170;;;;;
21-Jun-2024;135,370;;;;;
20-Jun-2024;135,130;;;;;
19-Jun-2024;133,640;;;;;
18-Jun-2024;135,650;;;;;
17-Jun-2024;135,850;;;;;
14-Jun-2024;136,970;;;;;
13-Jun-2024;137,390;;;;;
12-Jun-2024;139,670;;;;;
11-Jun-2024;139,160;;;;;
07-Jun-2024;142,040;;;;;
06-Jun-2024;141,580;;;;;
05-Jun-2024;143,450;;;;;
04-Jun-2024;146,210;;;;;
03-Jun-2024;148,570;;;;;
31-May-2024;149,920;;;;;
30-May-2024;152,970;;;;;
29-May-2024;154,520;;;;;
28-May-2024;155,570;;;;;
27-May-2024;152,830;;;;;
24-May-2024;152,150;;;;;
23-May-2024;153,220;;;;;
22-May-2024;157,740;;;;;
21-May-2024;157,790;;;;;
20-May-2024;156,080;;;;;
17-May-2024;150,310;;;;;
16-May-2024;145,860;;;;;
15-May-2024;142,720;;;;;
14-May-2024;143,620;;;;;
13-May-2024;143,260;;;;;
10-May-2024;142,400;;;;;
09-May-2024;140,460;;;;;
08-May-2024;141,580;;;;;
07-May-2024;144,550;;;;;
06-May-2024;144,030;;;;;
30-Apr-2024;143,400;;;;;
29-Apr-2024;143,000;;;;;
26-Apr-2024;143,040;;;;;
25-Apr-2024;142,060;;;;;
24-Apr-2024;140,780;;;;;
23-Apr-2024;143,400;;;;;
22-Apr-2024;144,060;;;;;
19-Apr-2024;138,650;;;;;
18-Apr-2024;137,440;;;;;
17-Apr-2024;134,900;;;;;
16-Apr-2024;136,200;;;;;
15-Apr-2024;138,690;;;;;
12-Apr-2024;137,600;;;;;
11-Apr-2024;139,210;;;;;
10-Apr-2024;138,600;;;;;
09-Apr-2024;136,690;;;;;
08-Apr-2024;135,910;;;;;
03-Apr-2024;133,320;;;;;
02-Apr-2024;131,770;;;;;
01-Apr-2024;129,430;;;;;
29-Mar-2024;130,040;;;;;
28-Mar-2024;129,520;;;;;
27-Mar-2024;130,050;;;;;
26-Mar-2024;132,150;;;;;
25-Mar-2024;134,150;;;;;
22-Mar-2024;135,280;;;;;
21-Mar-2024;136,770;;;;;
20-Mar-2024;136,310;;;;;
19-Mar-2024;138,790;;;;;
18-Mar-2024;139,980;;;;;
15-Mar-2024;140,650;;;;;
14-Mar-2024;141,310;;;;;
13-Mar-2024;140,880;;;;;
12-Mar-2024;138,960;;;;;
11-Mar-2024;136,930;;;;;
08-Mar-2024;136,840;;;;;
07-Mar-2024;135,210;;;;;
06-Mar-2024;134,840;;;;;
05-Mar-2024;136,520;;;;;
04-Mar-2024;136,650;;;;;
01-Mar-2024;137,210;;;;;
29-Feb-2024;136,100;;;;;
28-Feb-2024;134,720;;;;;
27-Feb-2024;132,800;;;;;
26-Feb-2024;134,490;;;;;
23-Feb-2024;134,260;;;;;
22-Feb-2024;129,900;;;;;
21-Feb-2024;127,300;;;;;
20-Feb-2024;127,190;;;;;
19-Feb-2024;125,350;;;;;
08-Feb-2024;124,690;;;;;
07-Feb-2024;123,720;;;;;
06-Feb-2024;124,330;;;;;
05-Feb-2024;124,580;;;;;
02-Feb-2024;126,180;;;;;
01-Feb-2024;126,230;;;;;
31-Jan-2024;126,900;;;;;
30-Jan-2024;127,980;;;;;
29-Jan-2024;129,910;;;;;
26-Jan-2024;130,810;;;;;
25-Jan-2024;129,700;;;;;
24-Jan-2024;129,360;;;;;
23-Jan-2024;127,850;;;;;
22-Jan-2024;126,840;;;;;
19-Jan-2024;128,150;;;;;
18-Jan-2024;127,260;;;;;
17-Jan-2024;127,640;;;;;
16-Jan-2024;127,000;;;;;
15-Jan-2024;127,690;;;;;
12-Jan-2024;128,790;;;;;
11-Jan-2024;126,210;;;;;
10-Jan-2024;124,600;;;;;
09-Jan-2024;124,960;;;;;
08-Jan-2024;124,180;;;;;
05-Jan-2024;123,680;;;;;
04-Jan-2024;125,700;;;;;
03-Jan-2024;127,850;;;;;
02-Jan-2024;126,720;;;;;
29-Dec-2023;127,840;;;;;
28-Dec-2023;130,020;;;;;
27-Dec-2023;129,470;;;;;
26-Dec-2023;130,570;;;;;
25-Dec-2023;129,630;;;;;
22-Dec-2023;131,240;;;;;
21-Dec-2023;130,360;;;;;
20-Dec-2023;131,500;;;;;
19-Dec-2023;131,170;;;;;
18-Dec-2023;133,350;;;;;
15-Dec-2023;131,860;;;;;
14-Dec-2023;131,750;;;;;
13-Dec-2023;131,700;;;;;
12-Dec-2023;131,670;;;;;
11-Dec-2023;132,290;;;;;
08-Dec-2023;131,710;;;;;
07-Dec-2023;129,370;;;;;
06-Dec-2023;128,140;;;;;
05-Dec-2023;126,740;;;;;
04-Dec-2023;129,810;;;;;
01-Dec-2023;129,360;;;;;
30-Nov-2023;132,490;;;;;
29-Nov-2023;129,960;;;;;
28-Nov-2023;125,430;;;;;
27-Nov-2023;124,970;;;;;
24-Nov-2023;129,060;;;;;
23-Nov-2023;128,550;;;;;
22-Nov-2023;131,990;;;;;
21-Nov-2023;134,150;;;;;
20-Nov-2023;135,470;;;;;
17-Nov-2023;136,780;;;;;
16-Nov-2023;138,970;;;;;
15-Nov-2023;138,750;;;;;
14-Nov-2023;138,420;;;;;
13-Nov-2023;139,000;;;;;
10-Nov-2023;140,270;;;;;
09-Nov-2023;141,570;;;;;
08-Nov-2023;138,960;;;;;
07-Nov-2023;142,150;;;;;
06-Nov-2023;142,820;;;;;
03-Nov-2023;142,100;;;;;
02-Nov-2023;141,410;;;;;
01-Nov-2023;141,200;;;;;
31-Oct-2023;144,810;;;;;
30-Oct-2023;146,720;;;;;
27-Oct-2023;146,040;;;;;
26-Oct-2023;147,680;;;;;
25-Oct-2023;147,580;;;;;
24-Oct-2023;147,030;;;;;
23-Oct-2023;148,720;;;;;
20-Oct-2023;149,190;;;;;
19-Oct-2023;150,270;;;;;
18-Oct-2023;150,650;;;;;
17-Oct-2023;151,030;;;;;
16-Oct-2023;152,300;;;;;
13-Oct-2023;152,240;;;;;
12-Oct-2023;149,450;;;;;
11-Oct-2023;149,870;;;;;
10-Oct-2023;152,390;;;;;
09-Oct-2023;149,070;;;;;
28-Sep-2023;152,240;;;;;
27-Sep-2023;153,040;;;;;
26-Sep-2023;157,970;;;;;
25-Sep-2023;158,220;;;;;
22-Sep-2023;156,840;;;;;
21-Sep-2023;159,860;;;;;
20-Sep-2023;163,530;;;;;
19-Sep-2023;161,500;;;;;
18-Sep-2023;161,570;;;;;
15-Sep-2023;162,240;;;;;
14-Sep-2023;160,560;;;;;
13-Sep-2023;161,830;;;;;
12-Sep-2023;165,210;;;;;
11-Sep-2023;165,970;;;;;
08-Sep-2023;166,330;;;;;
07-Sep-2023;168,040;;;;;
06-Sep-2023;171,620;;;;;
05-Sep-2023;170,150;;;;;
04-Sep-2023;170,810;;;;;
01-Sep-2023;166,820;;;;;
31-Aug-2023;165,630;;;;;
30-Aug-2023;165,770;;;;;
29-Aug-2023;166,680;;;;;
28-Aug-2023;169,300;;;;;
25-Aug-2023;169,680;;;;;
24-Aug-2023;169,930;;;;;
23-Aug-2023;169,250;;;;;
22-Aug-2023;168,210;;;;;
21-Aug-2023;167,070;;;;;
18-Aug-2023;167,550;;;;;
17-Aug-2023;164,080;;;;;
16-Aug-2023;162,630;;;;;
15-Aug-2023;163,780;;;;;
14-Aug-2023;166,630;;;;;
11-Aug-2023;167,090;;;;;
10-Aug-2023;166,180;;;;;
09-Aug-2023;167,410;;;;;
08-Aug-2023;168,710;;;;;
07-Aug-2023;168,490;;;;;
04-Aug-2023;172,180;;;;;
03-Aug-2023;170,020;;;;;
02-Aug-2023;174,140;;;;;
01-Aug-2023;173,860;;;;;
31-Jul-2023;173,480;;;;;
28-Jul-2023;170,530;;;;;
27-Jul-2023;170,990;;;;;
