Date;Price;;;;;
13-May-2025;234.50;;;;;
12-May-2025;236.50;;;;;
09-May-2025;235.50;;;;;
08-May-2025;233.00;;;;;
07-May-2025;234.50;;;;;
06-May-2025;236.00;;;;;
05-May-2025;239.00;;;;;
02-May-2025;238.50;;;;;
01-May-2025;237.50;;;;;
30-Apr-2025;237.00;;;;;
29-Apr-2025;236.50;;;;;
28-Apr-2025;233.00;;;;;
25-Apr-2025;231.00;;;;;
24-Apr-2025;230.50;;;;;
23-Apr-2025;230.50;;;;;
22-Apr-2025;231.00;;;;;
21-Apr-2025;230.00;;;;;
18-Apr-2025;231.50;;;;;
17-Apr-2025;232.00;;;;;
16-Apr-2025;233.00;;;;;
15-Apr-2025;234.00;;;;;
14-Apr-2025;230.00;;;;;
11-Apr-2025;227.50;;;;;
10-Apr-2025;215.50;;;;;
09-Apr-2025;210.00;;;;;
08-Apr-2025;217.00;;;;;
07-Apr-2025;215.50;;;;;
04-Apr-2025;228.50;;;;;
03-Apr-2025;234.00;;;;;
02-Apr-2025;234.00;;;;;
01-Apr-2025;234.50;;;;;
31-Mar-2025;236.50;;;;;
28-Mar-2025;238.00;;;;;
27-Mar-2025;235.50;;;;;
26-Mar-2025;234.50;;;;;
25-Mar-2025;234.00;;;;;
24-Mar-2025;229.00;;;;;
21-Mar-2025;202.50;;;;;
20-Mar-2025;215.00;;;;;
19-Mar-2025;225.00;;;;;
18-Mar-2025;229.50;;;;;
17-Mar-2025;239.00;;;;;
16-Mar-2025;;;;;;
14-Mar-2025;239.00;;;;;
13-Mar-2025;252.50;;;;;
12-Mar-2025;246.00;;;;;
11-Mar-2025;228.00;;;;;
10-Mar-2025;240.00;;;;;
07-Mar-2025;215.50;;;;;
06-Mar-2025;208.00;;;;;
05-Mar-2025;187.50;;;;;
04-Mar-2025;190.00;;;;;
03-Mar-2025;191.00;;;;;
28-Feb-2025;183.00;;;;;
27-Feb-2025;171.00;;;;;
26-Feb-2025;165.50;;;;;
25-Feb-2025;165.00;;;;;
24-Feb-2025;166.50;;;;;
23-Feb-2025;;;;;;
21-Feb-2025;150.00;;;;;
20-Feb-2025;148.00;;;;;
19-Feb-2025;148.50;;;;;
18-Feb-2025;148.00;;;;;
17-Feb-2025;148.00;;;;;
16-Feb-2025;;;;;;
14-Feb-2025;148.00;;;;;
13-Feb-2025;148.50;;;;;
12-Feb-2025;148.50;;;;;
11-Feb-2025;151.00;;;;;
10-Feb-2025;151.00;;;;;
09-Feb-2025;;;;;;
07-Feb-2025;151.00;;;;;
06-Feb-2025;151.50;;;;;
05-Feb-2025;149.00;;;;;
04-Feb-2025;149.50;;;;;
03-Feb-2025;149.50;;;;;
31-Jan-2025;149.00;;;;;
30-Jan-2025;147.50;;;;;
29-Jan-2025;147.00;;;;;
27-Jan-2025;148.00;;;;;
26-Jan-2025;;;;;;
20-Jan-2025;148.00;;;;;
19-Jan-2025;;;;;;
17-Jan-2025;149.00;;;;;
16-Jan-2025;150.50;;;;;
15-Jan-2025;149.50;;;;;
14-Jan-2025;149.50;;;;;
13-Jan-2025;151.00;;;;;
10-Jan-2025;153.50;;;;;
09-Jan-2025;153.50;;;;;
08-Jan-2025;153.50;;;;;
07-Jan-2025;154.00;;;;;
06-Jan-2025;153.50;;;;;
05-Jan-2025;;;;;;
03-Jan-2025;154.00;;;;;
02-Jan-2025;153.00;;;;;
31-Dec-2024;153.00;;;;;
30-Dec-2024;154.00;;;;;
29-Dec-2024;;;;;;
27-Dec-2024;155.50;;;;;
26-Dec-2024;156.00;;;;;
25-Dec-2024;156.00;;;;;
24-Dec-2024;156.50;;;;;
23-Dec-2024;156.50;;;;;
22-Dec-2024;;;;;;
20-Dec-2024;157.50;;;;;
19-Dec-2024;157.00;;;;;
18-Dec-2024;159.50;;;;;
17-Dec-2024;160.00;;;;;
16-Dec-2024;161.00;;;;;
15-Dec-2024;;;;;;
13-Dec-2024;163.00;;;;;
12-Dec-2024;163.00;;;;;
11-Dec-2024;163.50;;;;;
10-Dec-2024;163.00;;;;;
09-Dec-2024;163.50;;;;;
06-Dec-2024;163.00;;;;;
05-Dec-2024;164.00;;;;;
04-Dec-2024;164.50;;;;;
03-Dec-2024;165.00;;;;;
02-Dec-2024;164.50;;;;;
01-Dec-2024;;;;;;
29-Nov-2024;163.00;;;;;
28-Nov-2024;164.00;;;;;
27-Nov-2024;165.50;;;;;
26-Nov-2024;166.50;;;;;
25-Nov-2024;165.00;;;;;
22-Nov-2024;168.00;;;;;
21-Nov-2024;167.00;;;;;
20-Nov-2024;165.00;;;;;
19-Nov-2024;164.00;;;;;
18-Nov-2024;164.50;;;;;
15-Nov-2024;163.50;;;;;
14-Nov-2024;165.00;;;;;
13-Nov-2024;164.00;;;;;
12-Nov-2024;166.50;;;;;
11-Nov-2024;164.50;;;;;
10-Nov-2024;;;;;;
08-Nov-2024;165.00;;;;;
07-Nov-2024;164.00;;;;;
06-Nov-2024;163.00;;;;;
05-Nov-2024;163.00;;;;;
04-Nov-2024;162.00;;;;;
01-Nov-2024;159.50;;;;;
31-Oct-2024;159.00;;;;;
30-Oct-2024;160.00;;;;;
29-Oct-2024;160.00;;;;;
28-Oct-2024;160.50;;;;;
25-Oct-2024;157.00;;;;;
24-Oct-2024;157.00;;;;;
23-Oct-2024;156.50;;;;;
22-Oct-2024;158.50;;;;;
21-Oct-2024;159.00;;;;;
20-Oct-2024;;;;;;
18-Oct-2024;159.00;;;;;
17-Oct-2024;160.00;;;;;
16-Oct-2024;160.00;;;;;
15-Oct-2024;161.00;;;;;
14-Oct-2024;161.50;;;;;
13-Oct-2024;;;;;;
11-Oct-2024;162.50;;;;;
10-Oct-2024;161.00;;;;;
09-Oct-2024;161.00;;;;;
08-Oct-2024;161.00;;;;;
07-Oct-2024;163.50;;;;;
06-Oct-2024;;;;;;
04-Oct-2024;161.00;;;;;
03-Oct-2024;162.00;;;;;
