Date;Price;;;;;
13-May-2025;123.25;;;;;
12-May-2025;124.60;;;;;
09-May-2025;125.60;;;;;
08-May-2025;123.95;;;;;
07-May-2025;123.75;;;;;
06-May-2025;124.00;;;;;
05-May-2025;123.35;;;;;
02-May-2025;123.35;;;;;
01-May-2025;122.95;;;;;
30-Apr-2025;123.95;;;;;
29-Apr-2025;124.25;;;;;
28-Apr-2025;124.65;;;;;
15-Apr-2025;123.80;;;;;
14-Apr-2025;122.95;;;;;
11-Apr-2025;122.35;;;;;
10-Apr-2025;121.20;;;;;
09-Apr-2025;118.35;;;;;
08-Apr-2025;119.50;;;;;
07-Apr-2025;119.15;;;;;
04-Apr-2025;123.40;;;;;
03-Apr-2025;127.00;;;;;
02-Apr-2025;128.70;;;;;
01-Apr-2025;129.20;;;;;
31-Mar-2025;128.80;;;;;
28-Mar-2025;131.20;;;;;
27-Mar-2025;129.80;;;;;
26-Mar-2025;130.35;;;;;
17-Mar-2025;132.00;;;;;
16-Mar-2025;;;;;;
14-Mar-2025;132.00;;;;;
13-Mar-2025;132.15;;;;;
12-Mar-2025;132.85;;;;;
11-Mar-2025;132.00;;;;;
10-Mar-2025;131.80;;;;;
07-Mar-2025;130.10;;;;;
06-Mar-2025;128.25;;;;;
05-Mar-2025;126.90;;;;;
04-Mar-2025;127.15;;;;;
03-Mar-2025;127.90;;;;;
28-Feb-2025;124.65;;;;;
27-Feb-2025;126.90;;;;;
26-Feb-2025;124.35;;;;;
17-Feb-2025;123.00;;;;;
16-Feb-2025;;;;;;
14-Feb-2025;124.40;;;;;
13-Feb-2025;123.50;;;;;
12-Feb-2025;124.00;;;;;
11-Feb-2025;124.10;;;;;
10-Feb-2025;125.80;;;;;
09-Feb-2025;;;;;;
07-Feb-2025;127.00;;;;;
06-Feb-2025;126.70;;;;;
05-Feb-2025;124.50;;;;;
04-Feb-2025;123.15;;;;;
03-Feb-2025;122.60;;;;;
31-Jan-2025;123.35;;;;;
30-Jan-2025;124.10;;;;;
29-Jan-2025;124.30;;;;;
27-Jan-2025;124.65;;;;;
26-Jan-2025;;;;;;
15-Jan-2025;126.80;;;;;
14-Jan-2025;127.05;;;;;
13-Jan-2025;127.60;;;;;
10-Jan-2025;126.10;;;;;
09-Jan-2025;124.65;;;;;
08-Jan-2025;124.60;;;;;
07-Jan-2025;124.20;;;;;
06-Jan-2025;123.70;;;;;
05-Jan-2025;;;;;;
03-Jan-2025;123.65;;;;;
02-Jan-2025;123.10;;;;;
31-Dec-2024;124.40;;;;;
30-Dec-2024;124.70;;;;;
29-Dec-2024;;;;;;
27-Dec-2024;124.25;;;;;
26-Dec-2024;126.20;;;;;
25-Dec-2024;124.70;;;;;
24-Dec-2024;124.90;;;;;
23-Dec-2024;124.45;;;;;
22-Dec-2024;;;;;;
20-Dec-2024;122.80;;;;;
19-Dec-2024;122.70;;;;;
18-Dec-2024;123.60;;;;;
17-Dec-2024;124.15;;;;;
16-Dec-2024;125.90;;;;;
15-Dec-2024;;;;;;
13-Dec-2024;126.15;;;;;
12-Dec-2024;128.45;;;;;
11-Dec-2024;125.65;;;;;
10-Dec-2024;125.25;;;;;
09-Dec-2024;127.65;;;;;
06-Dec-2024;126.95;;;;;
05-Dec-2024;125.15;;;;;
04-Dec-2024;127.30;;;;;
03-Dec-2024;127.10;;;;;
02-Dec-2024;124.30;;;;;
01-Dec-2024;;;;;;
29-Nov-2024;126.20;;;;;
28-Nov-2024;127.15;;;;;
27-Nov-2024;125.35;;;;;
26-Nov-2024;127.65;;;;;
25-Nov-2024;126.20;;;;;
22-Nov-2024;126.30;;;;;
21-Nov-2024;126.50;;;;;
20-Nov-2024;126.25;;;;;
19-Nov-2024;125.20;;;;;
18-Nov-2024;123.10;;;;;
15-Nov-2024;123.10;;;;;
14-Nov-2024;123.00;;;;;
13-Nov-2024;124.25;;;;;
12-Nov-2024;126.25;;;;;
11-Nov-2024;127.85;;;;;
10-Nov-2024;;;;;;
08-Nov-2024;128.60;;;;;
07-Nov-2024;129.25;;;;;
06-Nov-2024;125.15;;;;;
05-Nov-2024;127.10;;;;;
04-Nov-2024;124.05;;;;;
01-Nov-2024;124.75;;;;;
31-Oct-2024;122.15;;;;;
30-Oct-2024;123.80;;;;;
29-Oct-2024;123.90;;;;;
28-Oct-2024;124.10;;;;;
25-Oct-2024;125.80;;;;;
24-Oct-2024;126.00;;;;;
23-Oct-2024;125.00;;;;;
22-Oct-2024;127.20;;;;;
21-Oct-2024;130.00;;;;;
20-Oct-2024;;;;;;
18-Oct-2024;128.10;;;;;
17-Oct-2024;128.50;;;;;
16-Oct-2024;132.75;;;;;
15-Oct-2024;133.00;;;;;
14-Oct-2024;133.80;;;;;
13-Oct-2024;;;;;;
11-Oct-2024;135.90;;;;;
10-Oct-2024;133.60;;;;;
09-Oct-2024;132.35;;;;;
08-Oct-2024;134.35;;;;;
07-Oct-2024;139.10;;;;;
06-Oct-2024;;;;;;
04-Oct-2024;138.50;;;;;
03-Oct-2024;137.70;;;;;
02-Oct-2024;141.75;;;;;
01-Oct-2024;135.40;;;;;
30-Sep-2024;133.30;;;;;
29-Sep-2024;;;;;;
27-Sep-2024;129.95;;;;;
26-Sep-2024;127.85;;;;;
25-Sep-2024;126.65;;;;;
24-Sep-2024;126.45;;;;;
